Date;Open;Low;High;Close;Volume
20170918;1.137941;1.128312;1.139147;1.129229;188747.14013287425
20170919;1.129433;1.123734;1.130825;1.126012;203139.2900129408
20170920;1.126367;1.125163;1.136687;1.134868;229110.1299581825
20170921;1.134932;1.132003;1.138524;1.137851;250311.1401596069
20170922;1.137812;1.125568;1.137915;1.12979;206363.0699415952
20170925;1.133774;1.131414;1.139627;1.13688;199104.57998437434
20170926;1.13688;1.136415;1.142348;1.141448;189369.5101943016
20170927;1.141461;1.136428;1.143406;1.139939;196864.7500647232
20170928;1.139926;1.135164;1.141618;1.140784;198507.54004636407
20170929;1.140784;1.131017;1.14111;1.134391;170488.05005562305
20171002;1.134378;1.127625;1.136247;1.131913;165956.36007851362
20171003;1.131913;1.125999;1.133581;1.127447;163467.35991040614
20171004;1.127434;1.126037;1.129931;1.126926;163009.27989460528
20171005;1.126913;1.119382;1.127015;1.120498;159341.31996216625
20171006;1.12026;1.1121;1.120624;1.114132;175116.31992432475
20171009;1.118518;1.11407;1.122839;1.119407;138188.59994126856
20171010;1.11937;1.116794;1.120473;1.118293;177146.2498262301
20171011;1.118393;1.11257;1.118718;1.1153;163602.4199192226
20171012;1.1153;1.107089;1.121856;1.121202;187339.49989044663
20171013;1.121353;1.119758;1.126684;1.124252;197735.56987836206
20171016;1.125949;1.120762;1.129229;1.123621;148487.94990077615
20171017;1.123621;1.119858;1.129038;1.121189;162213.26988173276
20171018;1.121265;1.117743;1.123772;1.120373;155664.7797946334
20171019;1.120335;1.109582;1.120574;1.110753;174159.31989448518
20171020;1.110704;1.108353;1.120611;1.119558;176201.10003697872
20171023;1.121013;1.12016;1.125378;1.123469;147595.90988484025
20171024;1.123457;1.114181;1.124366;1.117206;147044.88991515338
20171025;1.117318;1.114442;1.126177;1.122864;185014.84010994434
20171026;1.122902;1.116508;1.129944;1.129778;173689.30991889536
20171027;1.129637;1.123457;1.133067;1.131171;175006.67004984614
20171029;1.131299;1.130685;1.131772;1.131414;835.2500022649764
20171030;1.131337;1.130148;1.137294;1.133787;147111.5599771142
20171031;1.133813;1.13335;1.14094;1.140732;151874.80992818624
20171101;1.140732;1.138498;1.145121;1.140004;172965.09994453195
20171102;1.140004;1.118756;1.140719;1.120335;188685.9702414721
20171103;1.120323;1.119257;1.127027;1.126672;156994.94004114714
20171106;1.125835;1.125113;1.135061;1.134675;144320.11015224454
20171107;1.134675;1.131939;1.137501;1.136544;154600.4301508069
20171108;1.136557;1.128363;1.13679;1.131414;135491.91023254395
20171109;1.131158;1.126532;1.13326;1.129471;155832.98970615864
20171110;1.12942;1.126875;1.134893;1.131107;132772.1400731802
20171113;1.129395;1.12075;1.130646;1.124341;131146.830190897
20171114;1.124353;1.114293;1.124999;1.116059;130188.31026232244
20171115;1.116047;1.109385;1.117343;1.117343;159095.70038497448
20171116;1.117356;1.115163;1.12212;1.121177;142523.69034853578
20171117;1.121189;1.116857;1.123873;1.121202;153407.80047929287
20171120;1.121403;1.120724;1.129152;1.128261;149589.92044121027
20171121;1.128261;1.125467;1.130991;1.127943;125652.12031650545
20171122;1.127955;1.12467;1.129433;1.127345;140311.60031527278
20171123;1.127459;1.122133;1.127803;1.123495;118374.62030500176
20171124;1.123444;1.115847;1.124543;1.118606;133895.8501804471
20171127;1.117768;1.1152;1.120536;1.11952;148977.25031333414
20171128;1.119495;1.113412;1.130352;1.126875;187197.85033559802
20171129;1.126926;1.126596;1.134198;1.131939;184990.88040304184
20171130;1.13199;1.131388;1.139445;1.136389;192868.9303349778
20171201;1.136312;1.130697;1.137889;1.132939;202673.1804221868
20171204;1.133581;1.132131;1.142152;1.136118;193128.5304596052
20171205;1.136105;1.127726;1.13903;1.136751;176560.83071459085
20171206;1.136751;1.129535;1.137217;1.135718;171894.31075298786
20171207;1.135654;1.129982;1.145056;1.144715;165049.55055585506
20171208;1.144741;1.135615;1.150814;1.13679;170429.82052391768
20171211;1.137786;1.130672;1.139887;1.133838;143741.99035280946
20171212;1.133825;1.130518;1.137553;1.134404;157330.1804068461
20171213;1.134378;1.131926;1.13868;1.134906;171888.14058244225
20171214;1.134919;1.13208;1.141487;1.140576;190830.38041895625
20171215;1.140563;1.12877;1.141448;1.134276;187107.94037358466
20171218;1.13434;1.131171;1.137385;1.136105;167594.40045678616
20171219;1.136105;1.127841;1.136325;1.130774;178946.62045067552
20171220;1.130774;1.12624;1.132695;1.126875;161328.02040284872
20171221;1.126888;1.124885;1.127726;1.127586;153647.760499537
20171222;1.127599;1.125264;1.131823;1.12671;161198.77032452822
20171225;1.12988;1.127103;1.130033;1.12835;2687.0499966144557
20171226;1.126773;1.124518;1.12821;1.128032;110515.2703214884
20171227;1.127981;1.125239;1.12951;1.127472;142346.23044047505
20171228;1.127752;1.124366;1.127955;1.12567;143638.64040338993
20171229;1.127192;1.124695;1.128999;1.126418;146941.7503476739
20180102;1.124783;1.121353;1.128847;1.12718;151819.27055740356
20180103;1.127103;1.123621;1.130212;1.125264;155348.86040079597
20180104;1.125302;1.120561;1.126113;1.123166;158050.16032338142
20180105;1.123204;1.122209;1.128006;1.127904;152423.63033825904
20180108;1.127828;1.126697;1.134443;1.13407;110512.45026084779
20180109;1.13407;1.132003;1.135254;1.134507;133001.12024748325
20180110;1.134443;1.127053;1.134713;1.130774;159152.96018728614
20180111;1.130774;1.12207;1.130838;1.125404;172992.7701292634
20180112;1.125391;1.120034;1.129254;1.12572;198683.9102121517
20180115;1.125835;1.122397;1.127103;1.124695;174341.30008977652
20180116;1.124708;1.123469;1.128426;1.125113;173229.78021539006
20180117;1.125176;1.122599;1.13519;1.135022;209995.5303212255
20180118;1.135022;1.131593;1.136196;1.135564;200238.85035395625
20180119;1.135551;1.130531;1.135886;1.13416;212669.32013938573
20180122;1.132605;1.132105;1.141331;1.141005;176680.07993906733
20180123;1.141018;1.136932;1.141396;1.138382;186849.9200961589
20180124;1.138563;1.138032;1.149557;1.148119;227749.56008261442
20180125;1.148119;1.138317;1.151198;1.141136;280182.6499013975
20180126;1.141162;1.138395;1.146434;1.13964;259645.2699016333
20180129;1.138226;1.134301;1.140654;1.136803;225774.8101229072
20180130;1.13688;1.132093;1.142374;1.140823;238248.7101768852
20180131;1.140953;1.134276;1.143942;1.143602;237052.55962318185
20180201;1.143615;1.139731;1.147328;1.140927;204121.28998702765
20180202;1.141071;1.133183;1.142009;1.133954;216613.3500942961
20180205;1.13452;1.127002;1.13479;1.129178;227040.4800630808
20180206;1.129229;1.122284;1.129318;1.127358;287219.1002524495
20180207;1.127536;1.123886;1.132105;1.131823;214238.850138627
20180208;1.131939;1.131094;1.145226;1.136105;267317.5802298784
20180209;1.136247;1.12624;1.139134;1.128732;254013.3101356029
20180212;1.128197;1.124632;1.130876;1.125708;204807.9100260436
20180213;1.125695;1.122347;1.129012;1.124897;198368.52012497187
20180214;1.124859;1.121152;1.126875;1.12467;229217.9501222968
20180215;1.124682;1.123368;1.128961;1.127447;224938.48012629148
20180216;1.127485;1.125037;1.131337;1.131337;213611.2301468849
20180219;1.130403;1.127536;1.130569;1.12849;152248.57007420063
20180220;1.128681;1.127434;1.13577;1.134443;187421.19011580944
20180221;1.134572;1.128987;1.13568;1.133183;215507.57023406032
20180222;1.133183;1.128261;1.133466;1.131875;195997.5001448393
20180223;1.131913;1.131529;1.138136;1.136519;182434.65020845828
20180226;1.138123;1.133427;1.140043;1.134224;168684.54008615017
20180227;1.134185;1.130748;1.138136;1.137061;192514.68006300926
20180228;1.1371;1.127866;1.139108;1.128541;205714.28004038328
20180301;1.128604;1.122511;1.131657;1.123141;218452.62001285702
20180302;1.123179;1.117181;1.124126;1.120787;217288.42007714516
20180305;1.119971;1.117368;1.125568;1.122725;194514.51995940504
20180306;1.122763;1.118093;1.123002;1.119808;196671.1000782848
20180307;1.119808;1.115113;1.121227;1.119884;215933.77014148235
20180308;1.119971;1.116458;1.122839;1.122133;196601.42992806435
20180309;1.122158;1.120348;1.126811;1.125961;201040.3799624965
20180311;1.124986;1.124859;1.125619;1.12529;571.5800012350082
20180312;1.125239;1.124038;1.130033;1.12737;168519.35002078116
20180313;1.127396;1.125366;1.129816;1.127269;184298.92000490427
20180314;1.127243;1.126228;1.130672;1.129216;176450.35984555632
20180315;1.129191;1.126951;1.133337;1.132824;169934.2198851034
20180316;1.132811;1.131375;1.135125;1.135048;151634.48992340267
20180318;1.134816;1.13425;1.135074;1.13461;584.6999999284743
20180319;1.13461;1.134288;1.143537;1.137255;182860.0999304056
20180320;1.137204;1.136506;1.143641;1.143524;147928.58952338994
20180321;1.143458;1.141774;1.148488;1.14604;156922.86944577846
20180322;1.146;1.143968;1.153735;1.14604;158766.3794902116
20180323;1.146106;1.142413;1.148211;1.14423;159053.7492192313
20180326;1.145698;1.141253;1.147236;1.143576;127989.86952207984
20180327;1.143615;1.136725;1.144008;1.141683;140828.18949471414
20180328;1.141631;1.140563;1.145043;1.143903;154030.05916199833
20180329;1.143903;1.139783;1.144256;1.139913;139180.27960913628
20180330;1.139926;1.137139;1.14124;1.137851;131662.98044153306
20180402;1.139432;1.138459;1.142661;1.141878;91528.89976973832
20180403;1.141918;1.141071;1.14775;1.145869;126221.88958740981
20180404;1.145882;1.141748;1.147447;1.14671;122673.01976337285
20180405;1.146684;1.142922;1.147381;1.144296;130000.99951062351
20180406;1.144283;1.142883;1.149306;1.147908;141999.34949519485
20180409;1.147421;1.1465;1.149769;1.147118;120625.65960752965
20180410;1.147105;1.145803;1.150483;1.147394;128302.4095396474
20180411;1.147434;1.144243;1.149386;1.146592;132952.2595782802
20180412;1.146592;1.145817;1.157046;1.154481;133818.50953564048
20180413;1.154774;1.153988;1.159071;1.155095;110045.94978118688
20180416;1.155468;1.153562;1.159152;1.15844;103153.40986061096
20180417;1.158346;1.154721;1.160026;1.155068;126577.27970532328
20180418;1.155148;1.146487;1.156912;1.147934;127028.68970489502
20180419;1.148013;1.140225;1.15096;1.141383;132817.2496921867
20180420;1.141474;1.137501;1.144938;1.139809;125470.23978916554
20180423;1.14137;1.139614;1.143563;1.142035;120972.87945774198
20180424;1.142048;1.140745;1.144086;1.142844;122300.47967721525
